,Code,Language,# docs,# words,Content Length :
0,af,Afrikaans,23994,6217024,37.2 MB
1,sq,Albanian,1342790,462694599,3.2 GB
2,am,Amharic,119434,40262809,512.9 MB
3,ar,Arabic,25012116,10081452882,110.7 GB
4,an,Aragonese,34,264,11.0 kB
5,hy,Armenian,1056974,336045041,4.9 GB
6,as,Assamese,89542,24395215,412.1 MB
7,ast,Asturian,440,10917,74.1 kB
8,av,Avaric,44,1073,18.6 kB
9,az,Azerbaijani,1159994,316850330,3.0 GB
10,bn,Bangla,3474086,1092983765,19.1 GB
11,ba,Bashkir,128248,26036637,363.7 MB
12,eu,Basque,678474,136672615,1.2 GB
13,be,Belarusian,445612,164729607,2.3 GB
14,bh,Bihari languages,48,507,6.8 kB
15,bpy,Bishnupriya,2346,346947,5.4 MB
16,bs,Bosnian,20,395,3.0 kB
17,br,Breton,36338,4759407,31.4 MB
18,bg,Bulgarian,8933998,3635273738,44.1 GB
19,my,Burmese,430276,82433836,3.0 GB
20,ca,Catalan,6953898,2240460836,15.3 GB
21,ceb,Cebuano,16174,6263404,41.1 MB
22,ckb,Central Kurdish,182508,61334746,772.9 MB
23,ce,Chechen,11686,1051752,13.9 MB
24,zh,Chinese,138478270,44378380161,1.4 TB
25,cv,Chuvash,16652,3039925,42.3 MB
26,kw,Cornish,8,80,432 Bytes
27,hr,Croatian,31808,3542961,26.5 MB
28,cs,Czech,34859632,9717378559,77.0 GB
29,da,Danish,7214338,2217634340,14.8 GB
30,dv,Divehi,77060,10655359,200.1 MB
31,nl,Dutch,72552688,19564553306,135.0 GB
32,mhr,Eastern Mari,9502,1615215,22.9 MB
33,arz,Egyptian Arabic,3958,385511,3.7 MB
34,en,English,1235510986,5.24E+11,3.4 TB
35,eo,Esperanto,226924,67774923,474.8 MB
36,et,Estonian,3601904,938296892,8.0 GB
37,tl,Filipino,250558,110560444,719.2 MB
38,fi,Finnish,14471710,4198143883,41.1 GB
39,fr,French,158334998,62127088294,430.5 GB
40,gl,Galician,248762,38345625,255.7 MB
41,ka,Georgian,1343036,373935158,8.4 GB
42,de,German,206598430,73848586648,594.7 GB
43,gom,Goan Konkani,398,121035,2.3 MB
44,el,Greek,20282864,7691622692,95.7 GB
45,gn,Guarani,14,260,2.2 kB
46,gu,Gujarati,425552,417001705,5.6 GB
47,ht,Haitian Creole,2,20671,93.1 kB
48,he,Hebrew,3997888,1697158891,18.0 GB
49,hi,Hindi,5514454,2475605444,32.6 GB
50,hu,Hungarian,21349372,16013364289,150.1 GB
51,is,Icelandic,1210232,294471539,2.2 GB
52,io,Ido,224,2598,16.1 kB
53,ilo,Iloko,144,4411,28.0 kB
54,id,Indonesian,7109778,3228020221,23.4 GB
55,ia,Interlingua,34,9384,33.5 kB
56,ie,Interlingue,2,0,881 Bytes
57,ga,Irish,29894,9054923,63.2 MB
58,it,Italian,89021606,36327274203,259.4 GB
59,ja,Japanese,94236404,4401059165,181.2 GB
60,jv,Javanese,172,3286,25.7 kB
61,xal,Kalmyk,2,27,315 Bytes
62,kn,Kannada,448500,124924350,2.6 GB
63,krc,Karachay-Balkar,496,8385,122.4 kB
64,kk,Kazakh,677622,214679857,3.3 GB
